"longitude","latitude","start_date","end_date","label"
-6.81086482073422,12.9187775097603,"2019-05-01","2019-11-27","millet"
-6.81134295744037,12.9187433570553,"2019-05-01","2019-11-27","millet"
-6.81098432554148,12.9189330891418,"2019-05-01","2019-11-27","millet"
-6.81100702337699,12.9184848744662,"2019-05-01","2019-11-27","millet"
-6.81104121458732,12.9191595591722,"2019-05-01","2019-11-27","millet"
-6.81130726920588,12.9184262169991,"2019-05-01","2019-11-27","millet"
-6.81121803131044,12.9193919665467,"2019-05-01","2019-11-27","millet"
-6.81118448136468,12.9184713321603,"2019-05-01","2019-11-27","millet"
-6.81087910398939,12.9190175178034,"2019-05-01","2019-11-27","millet"
-6.81078313642409,12.9185688801886,"2019-05-01","2019-11-27","millet"
-6.80637551683525,12.9296150577828,"2019-05-01","2019-11-27","sorghum"
-6.80641126740007,12.9297451710868,"2019-05-01","2019-11-27","sorghum"
-6.80665430796315,12.9300227900416,"2019-05-01","2019-11-27","sorghum"
-6.80650429885446,12.9298475031893,"2019-05-01","2019-11-27","sorghum"
-6.80685760303925,12.9299552157428,"2019-05-01","2019-11-27","sorghum"
-6.80677917460611,12.9297655824423,"2019-05-01","2019-11-27","sorghum"
-6.80671783460185,12.9299270889164,"2019-05-01","2019-11-27","sorghum"
-6.80676354307993,12.9297217670995,"2019-05-01","2019-11-27","sorghum"
-6.80664834276446,12.9300545928407,"2019-05-01","2019-11-27","sorghum"
-6.80645884203172,12.9298601901769,"2019-05-01","2019-11-27","sorghum"
-6.65218687451704,13.3141897471753,"2019-05-01","2019-11-27","millet"
-6.65215244419071,13.3139206070417,"2019-05-01","2019-11-27","millet"
-6.65154301486551,13.3133271319055,"2019-05-01","2019-11-27","millet"
-6.65212966832169,13.3135247623249,"2019-05-01","2019-11-27","millet"
-6.6522638216565,13.3138302148221,"2019-05-01","2019-11-27","millet"
-6.65207216620787,13.3139182522509,"2019-05-01","2019-11-27","millet"
